dataset,model,sample_id,S,stable_at_0.05,stable_at_0.10,stable_at_0.15,stable_at_0.20,n_variants_used
DBPedia,gemini-2.5-pro,54759,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,56383,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,58716,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,64297,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,64705,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,65619,0.0,1,1,1,1,10
DBPedia,gemini-2.5-pro,66570,0.0,1,1,1,1,10
DBPedia,llama-3.1-8b-instant,1383,0.09280966504442822,0,1,1,1,30
DBPedia,llama-3.1-8b-instant,1881,0.31819408749727696,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,5343,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,6989,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,10934,0.05537763214483479,0,1,1,1,30
DBPedia,llama-3.1-8b-instant,11385,0.2058586508297276,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,16379,0.05537763214483479,0,1,1,1,30
DBPedia,llama-3.1-8b-instant,17620,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,22739,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,23680,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,25118,0.17072808680969082,0,0,0,1,30
DBPedia,llama-3.1-8b-instant,29168,0.24837824114222032,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,32285,0.05537763214483479,0,1,1,1,30
DBPedia,llama-3.1-8b-instant,34251,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,37609,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,39592,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,40876,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,44682,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,46518,0.1231814745907173,0,0,1,1,30
DBPedia,llama-3.1-8b-instant,49156,0.2618068586689422,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,54738,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,54759,0.2058586508297276,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,56383,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,58716,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,64297,0.35745657426341987,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,64705,0.21974330186402025,0,0,0,0,30
DBPedia,llama-3.1-8b-instant,65619,0.0,1,1,1,1,30
DBPedia,llama-3.1-8b-instant,66570,0.0,1,1,1,1,30
MeetingBank,gemini-2.5-flash,1,0.0781329870223999,0,1,1,1,2
MeetingBank,gemini-2.5-flash,2,0.06420326232910156,0,1,1,1,2
MeetingBank,gemini-2.5-flash,3,0.07234156131744385,0,1,1,1,2
MeetingBank,gemini-2.5-flash,4,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,5,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,6,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,7,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,8,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,9,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,10,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,11,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,12,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,13,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,14,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,15,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,16,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,17,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,18,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,19,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,20,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,21,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,22,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,23,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,24,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,25,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,26,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,27,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,28,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,29,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,30,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,31,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,32,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,33,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,34,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,35,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,36,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,37,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,38,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,39,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,40,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,41,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,42,1.0,0,0,0,0,1
